Codigo,Articulo,Unidad_de_Medida,Consumo
4Q,MEZCLA 4 QUESOS,Kilogramo,28.14
5Q,MEZCLA 5 QUESOS,Kilogramo,9.36
5QGO,MEZCLA 5 QUESOS GOURMET,Kilogramo,8.18
ABRG,SALSA AMERICAN BURGER 220ML,Kilogramo,2.33
ACE,ACEITE DE OLIVA AJO (TP),Litro,1.14
ACOSP,ACEITE OLIVA SPRAY,Gramo,70.02
AEG,ALITAS ENVASE GRANDE,Unidad,0
AF15,"BOTELLA AGUA 1,5L FONTVELLA",Unidad,39.00
AF50,"BOTELLA AGUA 0,5L FONTVELLA",Unidad,155.00
AGLA,ZZ AZUCAR GLASS 250 GR,Kilogramo,0
AN,ACEITUNAS NEGRAS,Kilogramo,6.81
ANCA,PET AQUARADE NARANJA ZERO 1.50,Unidad,0
APRE,ME ALITAS DE POLLO PREFRITA,Kilogramo,4.73
ARCEB,AROS DE CEBOLLA,Kilogramo,1.24
AT,ATUN,Kilogramo,7.86
ATN,ALITAS DE POLLO NORMAL,Kilogramo,12.22
AZNE,AZUCAR 8 GR NESPRESSO,Unidad,41.00
BA,BACON FRANQUI,Kilogramo,72.48
BBQH,ME SALSA BBQ HONEY 32X45GR,Unidad,24.00
BCC,BARRIL CRUZCAMPO,Litro,0
BCHE,BORDE QUESO CLASICO 6KG,Kilogramo,0.91
BCHI,YY BORDE QUESO PICANTON 6KG,Kilogramo,0
BCK,BARRIL HEINEKEN,Litro,24.44
BCRY5,BACON CRISPY,Kilogramo,8.55
BDOS05,"BOTELLA DOSIFICADOR 0,5L",Unidad,0
BDOS1,BOTELLA DOSIFICADOR 1L,Unidad,0
BEBR,BERENJENA BRASEADA,Kilogramo,0.43
BF,BOLA FAMILIAR,Bola,223.00
BFM28,BASE FINA MEDIANA 280 MM,Unidad,46.00
BITA,BORDE QUESO MEDITERRANEO 6KG,Kilogramo,0.81
BKME,ZZ BOLA CACAO MEDIANA,Bola,0
BLOO,ME SALSA BLOODY ONION,Unidad,2.00
BLSCMP,BOLSA COMPLEMENTOS,Unidad,44.00
BM,BOLA MEDIANA,Bola,1148.00
BP,BOLA PEQUE?A,Bola,1237.50
BPAD,BOLSA PAPEL DOMICILIO,Unidad,0
BPAT,ME BOLSA PATATAS MENEO,Unidad,69.00
BPDM,ME BOLSA PAPEL DOMICILIO MENEO,Unidad,199.00
BQCH6,YY BORDE QUESO CHORIZO 6KG,Kilogramo,0.20
BSA,BOLA SUPER AHORRO,Bola,8.00
BTCO2,BOTELLA CO2 MEDIANA 10 KG,Kilogramo,0
C250,MP - CEBOLLA CORTADA 250 GR,Kilogramo,0
CA,CARNE,Kilogramo,47.44
CACHA,CAJA COMBO HAMBURGUESA,Unidad,28.00
CACOO,CAJA COOKIE 2025,Unidad,36.00
CAFF2,CAFE INTENSO,Unidad,0
CAFF3,CAFE CLASSICO 10 CPS,Unidad,0
CAJU,ME SAZONADOR CAJUN APIO,Kilogramo,0.08
CAKE,CAJA COMBO 2025,Unidad,48.00
CAMML,CAMISETA MUJER 19 T.L,Unidad,0
CAMMM,CAMISETA MUJER 19 T.M,Unidad,0
CASA,CAJA SANDWICH 2022,Unidad,113.00
CATP,CALCETINES,Unidad,0
CC1S,CAJA COMPLEMENTOS 1 SALSA,Unidad,230.00
CCARM,CEBOLLA CARAMELIZADA MORENO,Kilogramo,3.29
CCHME,ME CAJA COMBO HAMBURGUESA MENE,Unidad,22.00
CCPOPS,POPS POLLO,Kilogramo,8.91
CCRT,ME CRUNCHY CEBOLLA CRISPY TARR,Kilogramo,0.30
CEN,CEBOLLA CONGELADA,Kilogramo,14.74
CETQPZ,CELIACOS ETIQUETA PIZZAS,Unidad,11.00
CF,CAJA FAMILIAR,Unidad,323.00
CH,CHAMPI?ON,Kilogramo,35.52
CHB4,TARRINA CHOCOLATE BELGA 460 ML,Unidad,6.00
CHB9,TARRINA CHOCOLATE BELGA 95 ML,Unidad,4.00
CHMI,ME CAJA HEXAGONAL MINI,Unidad,77.00
CHMX,ME CAJA HEXAGONAL MAXI,Unidad,33.00
CHORI,CHORIZO,Kilogramo,0.90
CHUN,ME CHUNKS DE POLLO 6X1KG,Kilogramo,4.64
CM,CAJA MEDIANA SIN ESQUINAS,Unidad,1488.00
CMI2,CAJA MENU INFANTIL 2020,Unidad,0
CMIC,CAJA PIZZA INFANTIL,Unidad,8.00
CNES,CAPSULAS NESPRESSO 50 UDS,Unidad,41.00
CNO,YY CERDO NUEVA ORLEANS,Kilogramo,0
COC4,TARRINA COOKIES&CREAM 460 ML,Unidad,8.00
COC9,TARRINA COOKIE&CREAM 95 ML,Unidad,14.00
COMCH,ME COPITA MULTICAPA CHOCOLATE,Unidad,1.00
CONTO,CONCENTRADO DE TOMATE,Kilogramo,106.27
CORNXL,ME CORTAVIENTOS NEGRO T XL,Unidad,0
COTCH,COOKIE TRIPLE CHOCOLATE,Unidad,36.00
CP,CAJA PEQUE?A,Unidad,56.00
CPBBQ,CELIACOS PIZZA BARBACOA,Unidad,1.00
CPBX,CAJA PEQUE?A TELEPIBOX,Unidad,0
CPCAR,CELIACOS PIZZA CARBONARA,Unidad,2.00
CPGR,CHEETOS PANDILLA B.GRANDE 75GR,Unidad,0
CPPQ,CHEETOS PANDILLA B.PEQ 31GR,Unidad,0
CPZ2,ZZ CAJA SWEET PIZZOLINOS,Unidad,0
CPZJB,CELIACOS PIZZA YORK BACON,Unidad,11.00
CR,NATA DE LUXTOR,Kilogramo,32.51
CRBC,ME CRUNCHY BACON 500GR,Kilogramo,0.34
CRCH,ME CRUNCHY SPICY CHICKEN 500GR,Kilogramo,0.18
CRCM,ME CRUNCHY MANGO 500GR,Kilogramo,0.16
CRIS,CRISTALINO,Kilogramo,1.38
CRJA,ME CRUNCHY JALAPE?O 500GR,Kilogramo,0.12
CRPZ,CORTADOR TOP 50,Unidad,0
DCHO,DANET CHOCO,Unidad,11.00
DGI2,ZZ DELANTAL Y GORRO INFANTIL 2,Unidad,0
DJL,YY DIORAMA JUSTICE LEAGUE,Unidad,0
DOGR,DORITOS TEX MEX (160GR),Unidad,0
DOPQ,DORITOS TEX MEX B.PEQ 44GR,Unidad,0
DPOU,DANONINO BEBEDINO FRESA,Unidad,23.00
ENVMN,ENVASE MINIS (TP),Unidad,0
EQ,TOPPING PARA MOZZARELLA,Kilogramo,339.20
ESAM,ME ETIQUETA SALSERA MENEO RAME,Unidad,70.00
ETBI,ETIQUETA BLANCA 55X50 IMPRESOR,Unidad,0
EU66,ENVASE EUROAHORRO 660 UDS,Unidad,0
EWRAP,MP - ENVASE WRAP,Unidad,8.00
FANMI,FANTASMIKOS,Unidad,6.00
FINQ,CRUJIENTES (FINGERS) DE QUE,Kilogramo,0
GAMBC,YY GAMBA COCIDA,Kilogramo,0.77
GUINF,GUANTES INFANTIL 2020,Unidad,0
HAMPR,HAMBURGUESA POLLO REBOZADA 100,Kilogramo,2.00
HAMSV,HAMBURGUESA SMASH VACUNO,Kilogramo,3.48
HAR,SEMOLA DE ROBLE,Kilogramo,52.88
JA,JAMON FRANQUI,Kilogramo,32.05
JIBE,JAMON IBERICO,Kilogramo,1.05
KHD,SOBRES KETCHUP,Unidad,138.00
KIKAM,KIT KAT MIX,Kilogramo,1.11
LA33,LATA CERVEZA AMSTEL 33CC,Unidad,3.00
LAGR,LAYS SAL B.GRANDE 160GR,Unidad,0
LAPQ,LAYS SAL B.PEQ 44GR,Unidad,0
LASF,LATA CERVEZA EL AGUILA S FILTR,Unidad,9.00
LCAR,LATA CERVEZA AMSTEL RADLER,Unidad,0
LCB,LATA DE CERVEZA BUCKLER SIN AL,Unidad,6.00
LCC,LATA DE CERVEZA CRUZCAMPO,Unidad,12.00
LCCS,LATA CERVEZA CRUZCAMPO 0.0,Unidad,0
LCH,LATA DE CERVEZA HEINEKEN,Unidad,21.00
LDES,LATA DESPERADOS 50 CC,Unidad,8.00
LMEN,ZZ LATA MONSTER ENERGY,Unidad,0
LMML,ZZ LATA MONSTER MANGO LOCO,Unidad,0
LMUW,ZZ LATA MONSTER ULTRA WHITE,Unidad,0
LMZE,ZZ LATA MONSTER ZERO,Unidad,0
