Codigo,Articulo,Unidad_de_Medida,Consumo
4Q,MEZCLA 4 QUESOS,Kilogramo,4.59
5Q,MEZCLA 5 QUESOS,Kilogramo,0.96
5QGO,MEZCLA 5 QUESOS GOURMET,Kilogramo,1.72
ABRG,SALSA AMERICAN BURGER 220ML,Kilogramo,0.55
ACE,ACEITE DE OLIVA AJO (TP),Litro,0.16
ACOSP,ACEITE OLIVA SPRAY,Gramo,15.00
AEG,ALITAS ENVASE GRANDE,Unidad,0
AF15,"BOTELLA AGUA 1,5L FONTVELLA",Unidad,4.00
AF50,"BOTELLA AGUA 0,5L FONTVELLA",Unidad,23.00
AGLA,ZZ AZUCAR GLASS 250 GR,Kilogramo,0
AN,ACEITUNAS NEGRAS,Kilogramo,1.18
ANCA,PET AQUARADE NARANJA ZERO 1.50,Unidad,0
APRE,ME ALITAS DE POLLO PREFRITA,Kilogramo,1.31
ARCEB,AROS DE CEBOLLA,Kilogramo,0.19
AT,ATUN,Kilogramo,1.53
ATN,ALITAS DE POLLO NORMAL,Kilogramo,1.90
AZNE,AZUCAR 8 GR NESPRESSO,Unidad,5.00
BA,BACON FRANQUI,Kilogramo,11.66
BBQH,ME SALSA BBQ HONEY 32X45GR,Unidad,7.00
BCC,BARRIL CRUZCAMPO,Litro,0
BCHE,BORDE QUESO CLASICO 6KG,Kilogramo,0
BCHI,YY BORDE QUESO PICANTON 6KG,Kilogramo,0
BCK,BARRIL HEINEKEN,Litro,2.08
BCRY5,BACON CRISPY,Kilogramo,1.51
BDOS05,"BOTELLA DOSIFICADOR 0,5L",Unidad,0
BDOS1,BOTELLA DOSIFICADOR 1L,Unidad,0
BEBR,BERENJENA BRASEADA,Kilogramo,0.18
BF,BOLA FAMILIAR,Bola,55.00
BFM28,BASE FINA MEDIANA 280 MM,Unidad,10.00
BITA,BORDE QUESO MEDITERRANEO 6KG,Kilogramo,0
BKME,ZZ BOLA CACAO MEDIANA,Bola,0
BLOO,ME SALSA BLOODY ONION,Unidad,0
BLSCMP,BOLSA COMPLEMENTOS,Unidad,6.00
BM,BOLA MEDIANA,Bola,183.00
BP,BOLA PEQUE?A,Bola,193.00
BPAD,BOLSA PAPEL DOMICILIO,Unidad,0
BPAT,ME BOLSA PATATAS MENEO,Unidad,20.00
BPDM,ME BOLSA PAPEL DOMICILIO MENEO,Unidad,53.00
BQCH6,YY BORDE QUESO CHORIZO 6KG,Kilogramo,0
BSA,BOLA SUPER AHORRO,Bola,1.00
BTCO2,BOTELLA CO2 MEDIANA 10 KG,Kilogramo,0
C250,MP - CEBOLLA CORTADA 250 GR,Kilogramo,0
CA,CARNE,Kilogramo,9.13
CACHA,CAJA COMBO HAMBURGUESA,Unidad,5.00
CACOO,CAJA COOKIE 2025,Unidad,2.00
CAFF2,CAFE INTENSO,Unidad,0
CAFF3,CAFE CLASSICO 10 CPS,Unidad,0
CAJU,ME SAZONADOR CAJUN APIO,Kilogramo,0.02
CAKE,CAJA COMBO 2025,Unidad,10.00
CAMML,CAMISETA MUJER 19 T.L,Unidad,0
CAMMM,CAMISETA MUJER 19 T.M,Unidad,0
CASA,CAJA SANDWICH 2022,Unidad,23.00
CATP,CALCETINES,Unidad,0
CC1S,CAJA COMPLEMENTOS 1 SALSA,Unidad,32.00
CCARM,CEBOLLA CARAMELIZADA MORENO,Kilogramo,0.32
CCHME,ME CAJA COMBO HAMBURGUESA MENE,Unidad,8.00
CCPOPS,POPS POLLO,Kilogramo,1.34
CCRT,ME CRUNCHY CEBOLLA CRISPY TARR,Kilogramo,0.07
CEN,CEBOLLA CONGELADA,Kilogramo,2.19
CETQPZ,CELIACOS ETIQUETA PIZZAS,Unidad,2.00
CF,CAJA FAMILIAR,Unidad,75.00
CH,CHAMPI?ON,Kilogramo,5.39
CHB4,TARRINA CHOCOLATE BELGA 460 ML,Unidad,2.00
CHB9,TARRINA CHOCOLATE BELGA 95 ML,Unidad,2.00
CHMI,ME CAJA HEXAGONAL MINI,Unidad,23.00
CHMX,ME CAJA HEXAGONAL MAXI,Unidad,5.00
CHORI,CHORIZO,Kilogramo,0.13
CHUN,ME CHUNKS DE POLLO 6X1KG,Kilogramo,1.10
CM,CAJA MEDIANA SIN ESQUINAS,Unidad,234.00
CMI2,CAJA MENU INFANTIL 2020,Unidad,0
CMIC,CAJA PIZZA INFANTIL,Unidad,1.00
CNES,CAPSULAS NESPRESSO 50 UDS,Unidad,5.00
CNO,YY CERDO NUEVA ORLEANS,Kilogramo,0
COC4,TARRINA COOKIES&CREAM 460 ML,Unidad,2.00
COC9,TARRINA COOKIE&CREAM 95 ML,Unidad,4.00
COMCH,ME COPITA MULTICAPA CHOCOLATE,Unidad,0
CONTO,CONCENTRADO DE TOMATE,Kilogramo,18.10
CORNXL,ME CORTAVIENTOS NEGRO T XL,Unidad,0
COTCH,COOKIE TRIPLE CHOCOLATE,Unidad,2.00
CP,CAJA PEQUE?A,Unidad,10.00
CPBBQ,CELIACOS PIZZA BARBACOA,Unidad,0
CPBX,CAJA PEQUE?A TELEPIBOX,Unidad,0
CPCAR,CELIACOS PIZZA CARBONARA,Unidad,1.00
CPGR,CHEETOS PANDILLA B.GRANDE 75GR,Unidad,0
CPPQ,CHEETOS PANDILLA B.PEQ 31GR,Unidad,0
CPZ2,ZZ CAJA SWEET PIZZOLINOS,Unidad,0
CPZJB,CELIACOS PIZZA YORK BACON,Unidad,1.00
CR,NATA DE LUXTOR,Kilogramo,4.93
CRBC,ME CRUNCHY BACON 500GR,Kilogramo,0.07
CRCH,ME CRUNCHY SPICY CHICKEN 500GR,Kilogramo,0.08
CRCM,ME CRUNCHY MANGO 500GR,Kilogramo,0.04
CRIS,CRISTALINO,Kilogramo,0.13
CRJA,ME CRUNCHY JALAPE?O 500GR,Kilogramo,0
CRPZ,CORTADOR TOP 50,Unidad,0
DCHO,DANET CHOCO,Unidad,2.00
DGI2,ZZ DELANTAL Y GORRO INFANTIL 2,Unidad,0
DJL,YY DIORAMA JUSTICE LEAGUE,Unidad,0
DOGR,DORITOS TEX MEX (160GR),Unidad,0
DOPQ,DORITOS TEX MEX B.PEQ 44GR,Unidad,0
DPOU,DANONINO BEBEDINO FRESA,Unidad,5.00
ENVMN,ENVASE MINIS (TP),Unidad,0
EQ,TOPPING PARA MOZZARELLA,Kilogramo,59.93
ESAM,ME ETIQUETA SALSERA MENEO RAME,Unidad,16.00
ETBI,ETIQUETA BLANCA 55X50 IMPRESOR,Unidad,0
EU66,ENVASE EUROAHORRO 660 UDS,Unidad,0
EWRAP,MP - ENVASE WRAP,Unidad,0
FANMI,FANTASMIKOS,Unidad,0
FINQ,CRUJIENTES (FINGERS) DE QUE,Kilogramo,0
GAMBC,YY GAMBA COCIDA,Kilogramo,0.20
GUINF,GUANTES INFANTIL 2020,Unidad,0
HAMPR,HAMBURGUESA POLLO REBOZADA 100,Kilogramo,0.60
HAMSV,HAMBURGUESA SMASH VACUNO,Kilogramo,0.60
HAR,SEMOLA DE ROBLE,Kilogramo,8.86
JA,JAMON FRANQUI,Kilogramo,6.45
JIBE,JAMON IBERICO,Kilogramo,0.22
KHD,SOBRES KETCHUP,Unidad,24.00
KIKAM,KIT KAT MIX,Kilogramo,0.16
LA33,LATA CERVEZA AMSTEL 33CC,Unidad,1.00
LAGR,LAYS SAL B.GRANDE 160GR,Unidad,0
LAPQ,LAYS SAL B.PEQ 44GR,Unidad,0
LASF,LATA CERVEZA EL AGUILA S FILTR,Unidad,0
LCAR,LATA CERVEZA AMSTEL RADLER,Unidad,0
LCB,LATA DE CERVEZA BUCKLER SIN AL,Unidad,0
LCC,LATA DE CERVEZA CRUZCAMPO,Unidad,2.00
LCCS,LATA CERVEZA CRUZCAMPO 0.0,Unidad,0
LCH,LATA DE CERVEZA HEINEKEN,Unidad,5.00
LDES,LATA DESPERADOS 50 CC,Unidad,0
LMEN,ZZ LATA MONSTER ENERGY,Unidad,0
LMML,ZZ LATA MONSTER MANGO LOCO,Unidad,0
LMUW,ZZ LATA MONSTER ULTRA WHITE,Unidad,0
LMZE,ZZ LATA MONSTER ZERO,Unidad,0
LRBG,LATA RED BULL ICE GUMMY 250 ML,Unidad,0
LRBR,LATA RED BULL 250 ML (ENERGY D,Unidad,1.00
LRBW,LATA RED BULL WATERMELON 250 M,Unidad,0
MAC4,TARRINA MACADAMIA 460 ML,Unidad,1.00
MAC9,TARRINA MACADAMIA 95 ML,Unidad,1.00
MCO17,MANTELES COLEGIOS 2017,Unidad,0
MHD,SOBRES MOSTAZA,Unidad,0
MIGAS,ZZ MIGAS,Kilogramo,0
MIKPZ,MIKOLAPIZ,Unidad,0
MOBIT,MOZZARELLA BITES,Kilogramo,1.45
MXFS,MIX FLORES SECAS 50GR,Gramo,1.00
NUGGET,NUGGETS,Kilogramo,1.08
ORE,OREGANO MOLIDO,Kilogramo,0.00
PAGM,ME PAPEL ANTIGRASA MENEO,Unidad,62.00
PAHCOM,PAPEL DE HORNO PARA COMPLEMENT,Unidad,0
PANT,PAPEL ANTIGRASA,Unidad,11.50
PANTRO,BACON ASADO TROCEADO 6X500GR,Kilogramo,0.08
PAXL,PAPEL ANTIGRASA XL,Unidad,9.00
PBB3,PAN BURGER BRIOCHE 30 UDS,Unidad,14.00
PE,PEPPERONI,Kilogramo,3.37
PEGM,PEGATINAS MINIS (TP),Unidad,0
PGL1,PEGATINA LUMINOSA TPZ 1,Unidad,4.00
PGL2,PEGATINA LUMINOSA TPZ 2,Unidad,1.00
PGTP,PATATAS GAJO (TP),Kilogramo,7.95
PI,PI?A,Kilogramo,1.54
PIKN,ME SALSA PICANTONA 32X45GR,Unidad,2.00
PKTAI,PASTA KATAIFI 500GR,Kilogramo,0
PMASD,PIMIENTO ASADO,Kilogramo,1.58
PNFCC,PAN FOCACCIA,Unidad,1.00
PS7U5,PET 7UP ZERO 500ML,Unidad,2.00
PSAL3,LATA AQUARADE LIMON ZERO,Unidad,1.00
PSAL5,PET AQUARADE LIMON ZERO 500ML,Unidad,0
PSAN5,PET AQUARADE NARANJA ZERO 500M,Unidad,0
PSAQN,LATA AQUARADE NARANJA ZERO,Unidad,2.00
PSKL5,PET KAS LIMON 500ML,Unidad,1.00
PSKLZ,LATA KAS LIMON,Unidad,4.00
PSKN1,PET KAS NARANJA 1L,Unidad,3.00
PSKN5,PET KAS NARANJA 500ML,Unidad,4.00
PSKNZ,LATA KAS NARANJA,Unidad,3.00
PSL7U,LATA 7UP ZERO,Unidad,0
PSLM5,PET LIPTON MANGO MARACUYA 500,Unidad,1.00
PSLT5,PET LIPTON ZERO 500ML,Unidad,8.00
PSLTZ,LATA LIPTON ZERO,Unidad,0
PSPR1,PET PEPSI REGULAR 1L,Unidad,12.00
PSPR3,LATA PEPSI REGULAR,Unidad,4.00
PSPR5,PET PEPSI REGULAR 500ML,Unidad,15.00
PSPZ1,PET PEPSI ZERO 1L,Unidad,6.00
PSPZ3,LATA PEPSI ZERO,Unidad,12.00
PSPZ5,PET PEPSI ZERO 500ML,Unidad,14.00
PUBE,YY PULLED BEEF,Kilogramo,0
PUPO,PULLED PORK REFRIGERADO 500GR,Kilogramo,0.62
PVN,PIMIENTO VERDE CONGELADO,Kilogramo,1.13
PZLS,PEPSI ZERO LIMA 500 SAMPLING,Unidad,0
QCAB,QUESO CABRA,Kilogramo,1.23
QCHDNP,QUESO CHEDDAR NARANJA PICADO,Kilogramo,0.86
QCHLO,QUESO CHEDDAR LONCHAS,Kilogramo,0.44
QFCPJ,QUESO FUNDIDO IRL,Gramo,68.00
QPRO,QUESO PROVOLONE,Kilogramo,1.36
QRG,ZZ QUESO RALLADO GRATINAR,Kilogramo,0
QSBR,QUESO SBRINZ,Kilogramo,0.73
QTRU,QUESO TRUFADO 1 KG,Kilogramo,0.08
RINCHE,RING DE CHEDDAR,Kilogramo,0.30
RJGR,RUFFLES JAMON B.GRANDE 150GR,Unidad,0
RJPQ,RUFFLES JAMON B.PEQ 45GR,Unidad,0
RTB84,ROLLO TERMICO BLANCO,Unidad,0
SAC18,SOPORTE ARBOL CATALAN 18,Unidad,0
SAL6,ME SALSERA ECOP. 60 ML,Unidad,16.00
SBBQB,SALSA BARBACOA BOLSA,Kilogramo,11.70
SBREAP,SOBRES ACEITE PICANTE 300,Unidad,5.00
SC,TARRINA SALSA BARBACOA,Unidad,14.00
SCBU,SEPARADOR CAJA BURGER,Unidad,5.00
SCCE,ME SALSA CREMOSA CEBOLLINO,Unidad,2.00
SCCRE,STICK COOKIE &CREAM 80 ML,Unidad,0
SCHB,SALSA DE CHOCOLATE BOTELLA,Kilogramo,0.30
SEMA,SEMOLA MALTEADA 600 GR,Kilogramo,0.11
SERM,ME SERVILLETA KRAFT MENEO 30X4,Unidad,0
SHCL,SALCHICHA CLASSIC,Kilogramo,0.88
SIMPR,SERVILLETA IMPRESA 32X40 MAXIS,Unidad,0
SLCM,YY SALSA CURRY MANGO,Kilogramo,0
SLIME,SLIME,Unidad,0
SMAK,STICK MACADAMIA 80 ML,Unidad,0
SMAY,ME SALSA MAYO,Unidad,2.00
SMAYO,SALSA MAYONESA TRUFA 875ML,Kilogramo,0.06
SMED,ME SALSA MEDITERRANEA,Unidad,2.00
SMIE,ME SALSA MIEL MOSTAZA 32X40GR,Unidad,4.00
SORP,REGALO SORPRESA,Unidad,4.00
SPCMB,SEPARADOR COMBO 2022,Unidad,10.00
SPES,SALSA PESTO,Kilogramo,0.03
SPIST,SALSA DE PISTACHO BOTELLA,Kilogramo,0
SQUE,ME SALSA QUESABROSA,Unidad,6.00
SSTEAK,SALSA STEAK & GRILL,Kilogramo,0.06
STBP,SEPARADOR TELEPIBOX PEQUE?A,Unidad,0
STC4,TARRINA STRAW CHEESECAKE 460ML,Unidad,1.00
STRI,ME STRIPS DE POLLO 6X1KG,Kilogramo,2.60
T125,"ME TARRO 1,25 L HEGAHOGAR",Unidad,0
TAP6,ME TAPA SALSERA ECOP. 60 ML,Unidad,16.00
TCHC,TARR. STRAWBERRY CHEESECAKE 95,Unidad,4.00
TCHM,TOMATE CHERRY MITAD,Kilogramo,0.31
TKSALSA,SALSA KEBAB,Gramo,50.00
TMEM,TAPA METALICA ENVASE MINIS,Unidad,0
TMIMOS,TARRINA MIEL Y MOSTAZA,Unidad,15.00
TMOR,TARRINA DE MORCILLA,Kilogramo,0
TOMCNF,TOMATE CONFITADO CUBO,Kilogramo,0.28
TOME,"ME TORTILLA TRIGO 29,5 CM MENE",Unidad,3.00
TPADR,TAZAS PIZARRA,Unidad,0
TPOTI,TOPPING DE POLLO EN TIRAS,Kilogramo,7.13
TRINU,TRIPODE NUEVO,Unidad,0
TSCREM,TARRINA CREMOSA AL AJO,Unidad,3.00
TSIR,TRIANGULO SIRATCHA,Kilogramo,0.16
TTCM,TARRINA TOMATE CONFITADO,Unidad,3.00
YOFP,YOGIKIDS POUCH FRESA-PLATANO,Unidad,0
YOFR,YOGIKIDS POUCH FRESA,Unidad,0
