Codigo,Articulo
BA,BACON FRANQUI
BBQH,ME SALSA BBQ HONEY 32X45GR
BCRY5,BACON CRISPY
BLOO,ME SALSA BLOODY ONION
CA,CARNE
CHORI,CHORIZO
CR,NATA DE LUXTOR
DCHO,DANET CHOCO
DPOU,DANONINO BEBEDINO FRESA
JA,JAMON FRANQUI
JIBE,JAMON IBERICO
PANTRO,BACON ASADO TROCEADO 6X500GR
PE,PEPPERONI
PIKN,ME SALSA PICANTONA 32X45GR
PKTAI,PASTA KATAIFI 500GR
PUPO,PULLED PORK REFRIGERADO 500GR
QCHLO,QUESO CHEDDAR LONCHAS
QFCPJ,QUESO FUNDIDO IRL
QSBR,QUESO SBRINZ
SCCE,ME SALSA CREMOSA CEBOLLINO
SHCL,SALCHICHA CLASSIC
SMAY,ME SALSA MAYO
SMED,ME SALSA MEDITERRANEA
SMIE,ME SALSA MIEL MOSTAZA 32X40GR
SQUE,ME SALSA QUESABROSA
TPOTI,TOPPING DE POLLO EN TIRAS
