fecha,venta_estimada_sin_partido
27 enero 2026,1703.13
28 enero 2026,1807.5
29 enero 2026,2129.84
30 enero 2026,3569.92
31 enero 2026,4045.11
1 febrero 2026,3570.86
2 febrero 2026,1400
3 febrero 2026,1650
4 febrero 2026,1500
5 febrero 2026,2850
6 febrero 2026,4500
7 febrero 2026,4531.32
8 febrero 2026,3700
9 febrero 2026,1547.4
10 febrero 2026,1702.6
11 febrero 2026,1555.49
12 febrero 2026,2123.94
13 febrero 2026,4900
14 febrero 2026,6400
15 febrero 2026,5000
16 febrero 2026,1455.8
17 febrero 2026,1618.67
18 febrero 2026,1437.41
19 febrero 2026,2199.77
20 febrero 2026,3978.24
21 febrero 2026,4204.38
22 febrero 2026,3442.41
23 febrero 2026,1300
24 febrero 2026,1500
25 febrero 2026,1900
26 febrero 2026,2300
27 febrero 2026,4900
28 febrero 2026,4900
1 marzo 2026,3500
2 marzo 2026,1500
3 marzo 2026,2000
4 marzo 2026,1600
5 marzo 2026,2000
6 marzo 2026,4200
7 marzo 2026,4300
8 marzo 2026,3500
9 marzo 2026,1400
10 marzo 2026,1900
11 marzo 2026,1900
12 marzo 2026,2000
13 marzo 2026,4200
14 marzo 2026,4300
15 marzo 2026,3400
16 marzo 2026,1300
17 marzo 2026,1700
18 marzo 2026,1800
19 marzo 2026,2000
20 marzo 2026,3900
21 marzo 2026,4100
22 marzo 2026,3500
23 marzo 2026,1300
24 marzo 2026,1500
25 marzo 2026,1400
26 marzo 2026,2000
27 marzo 2026,4700
28 marzo 2026,4200
29 marzo 2026,3600
30 marzo 2026,2000
31 marzo 2026,2000
1 abril 2026,1900
2 abril 2026,2500
3 abril 2026,3100
4 abril 2026,3100
5 abril 2026,4000
6 abril 2026,2500
7 abril 2026,2000
8 abril 2026,2500
9 abril 2026,1900
10 abril 2026,3900
11 abril 2026,4100
12 abril 2026,3400
13 abril 2026,1300
14 abril 2026,1500
15 abril 2026,1500
16 abril 2026,2000
17 abril 2026,4000
18 abril 2026,4100
19 abril 2026,3500
20 abril 2026,1300
21 abril 2026,1400
22 abril 2026,1300
